Removal Site 1,Removal Site 2,Distance
AHU-101,AHU-101,0
AHU-102,AHU-101,0.35
AHU-103,AHU-101,0
AHU-104,AHU-101,1.27
AHU-105,AHU-101,4.93
AHU-106,AHU-101,9.59
AHU-107,AHU-101,6.07
AHU-201,AHU-101,5.56
AHU-202,AHU-101,2.75
ANJ-101,AHU-101,20.4
ANJ-309,AHU-101,19.17
ANJ-310,AHU-101,18.5
ANJ-311,AHU-101,16.14
ANJ-312,AHU-101,18.61
CDN-111,AHU-101,14.44
CDN-112,AHU-101,12.53
CDN-113,AHU-101,12.92
CDN-114,AHU-101,11.13
CDN-115,AHU-101,11.97
CDN-116,AHU-101,11.68
CDN-301,AHU-101,13.51
IBI-301,AHU-101,35.55
LAC-102,AHU-101,16.85
LAC-104,AHU-101,14.39
LAC-305,AHU-101,17.01
LAC-306,AHU-101,17.5
LAS-321,AHU-101,20.58
LAS-323,AHU-101,25.55
LAS-325,AHU-101,23.22
LAS-326,AHU-101,22.87
LAS-327,AHU-101,22.69
LAS-328,AHU-101,23.17
LAS-329,AHU-101,20.89
LAS-330,AHU-101,22.93
LAS-333,AHU-101,23.72
MHM-105,AHU-101,20.49
MHM-106,AHU-101,21.42
MHM-107,AHU-101,18.23
MHM-108,AHU-101,16.45
MHM-109,AHU-101,16.33
MHM-209,AHU-101,16.71
MHM-210,AHU-101,16.46
MHM-211,AHU-101,19.06
MTN-102,AHU-101,20
MTN-103,AHU-101,25.41
MTN-104,AHU-101,11.7
MTN-305,AHU-101,10.26
MTN-307,AHU-101,20.39
OUT-101,AHU-101,10.1
PMR-101,AHU-101,11.68
PMR-102,AHU-101,11.97
PMR-203,AHU-101,12.32
PMR-204,AHU-101,14.75
PRF-304B,AHU-101,27.82
PRF-304C,AHU-101,27.77
PRF-304D,AHU-101,25.81
PRF-304E,AHU-101,24
PRF-304F,AHU-101,8.12
RDP-101,AHU-101,27.7
RDP-102,AHU-101,21.85
RDP-103,AHU-101,27.7
RDP-105,AHU-101,28.54
RDP-106,AHU-101,28.26
RDP-107,AHU-101,25.48
RDP-201,AHU-101,23.8
RDP-202,AHU-101,24.13
RDP-203,AHU-101,25.48
RPP-101,AHU-101,9.88
RPP-102,AHU-101,13.73
RPP-103,AHU-101,14.33
RPP-104,AHU-101,15.53
RPP-201,AHU-101,11.49
RPP-204,AHU-101,11.71
RPP-205,AHU-101,13.77
SLA-363,AHU-101,3.32
SLA-364,AHU-101,4.98
SLA-365,AHU-101,5.68
SLA-366,AHU-101,3.65
SLA-367,AHU-101,3.75
SLA-368,AHU-101,6.14
SLA-369,AHU-101,6.08
SLA-370,AHU-101,7.48
SLA-371,AHU-101,4.91
SLE-109,AHU-101,14.79
SLE-110,AHU-101,16.43
SLE-111,AHU-101,17.21
SLE-303,AHU-101,16.57
SLE-304,AHU-101,16.57
S-O-103,AHU-101,22.11
S-O-104,AHU-101,20.05
S-O-201A,AHU-101,18.78
S-O-201B,AHU-101,17.6
VER-310A,AHU-101,20.52
