Hub,TotalCost
VMA-109,57035642.80556573
VMA-307,48710165.66904462
VMA-306,47502073.15729329
VMA-111,47563796.97934201
VMA-110,56923144.43387971
PMR-101,45900159.924376294
PMR-102,48093450.30351865
S-O-104,55253538.21892251
PMR-204,45628238.78143713
MHM-109,46415555.51124519
PMR-203,46439707.993514575
RPP-201,44998183.93845491
MHM-209,47493758.75383043
MHM-210,47147442.79029381
RPP-204,44004054.628336474
RPP-101,46102177.38115659
RPP-102,44896264.25100151
OUT-101,49752101.534769386
RPP-104,46591569.35465245
VER-310B,69642633.6845689
VSP-107,42545382.419334464
CDN-111,57393887.19075578
VSP-206,42049058.48357784
S-O-201B,63853113.330589555
RPP-205,44503917.815743424
AHU-107,43981539.44836546
RPP-103,45724944.9660957
S-O-201A,65154962.03262299
AHU-105,44247402.00591775
MHM-211,52082880.04811921
VSP-104,44528396.40599664
MHM-105,54538621.665153824
CDN-112,55903901.319257654
S-O-103,73804995.43283017
SLE-109,46540358.02962629
CDN-301,58007324.970571585
MHM-106,53739378.90217278
MHM-107,51739343.656473555
CDN-113,56816186.392411605
LAS-328,52242630.60370338
LAS-329,69716124.87437099
LAS-321,73870930.97405839
ANJ-310,52990177.65087015
VSP-205,43807024.22195842
AHU-106,57609335.33165606
LAS-327,51802701.98557338
VER-310A,74333790.11993706
MHM-108,48818430.54101754
SLE-111,51383201.82725144
LAS-323,79346938.46123704
ANJ-309,53836835.98245014
CDN-114,54798684.412925765
LAS-326,53226555.05220992
LAS-330,76913348.72763161
MTN-305,44644816.23972147
LAS-325,77322410.19779953
SLE-110,48930589.713103406
CDN-116,53356020.48467623
SLA-364,51736659.74005067
CDN-115,54205600.057627
SLA-369,52537753.49895203
LAS-333,79541654.6948665
SLE-304,48732275.584496714
SLE-303,48732275.584496714
VSP-108,48600847.978147715
LAC-102,71013825.76951176
SLA-363,53137369.66337738
VSP-109,45686987.91392596
SLA-370,58334335.23946349
MTN-102,51418368.04687779
ANJ-312,51050430.661749154
SLA-365,57957538.05579999
VSP-103,44910105.93886543
ANJ-311,48361596.573109895
SLA-366,49676549.24955437
LAC-305,72673228.54723978
ANJ-101,57158517.93013903
SLA-371,50767487.23126899
LAC-306,71953455.97662885
LAC-104,65952525.744998835
MTN-307,53142670.24647357
SLA-368,60894839.6453089
MTN-103,57954706.589659885
MTN-104,49629059.70127921
SLA-367,60995303.35945081
RDP-202,64922364.55415986
RDP-102,52852193.1399015
RDP-201,61806758.54549155
RDP-101,64680730.04107239
RDP-103,64680730.04107239
AHU-101,53181277.937206395
AHU-103,54502226.011400536
RDP-203,68621956.32664631
RDP-107,68621956.32664631
AHU-202,45947344.49404152
AHU-104,52425192.56735439
AHU-102,53822867.40362388
AHU-201,44717602.52698434
PRF-304F,68831651.2251103
RDP-105,80292974.19150655
RDP-106,79614944.64022401
PRF-304E,89000733.9975212
PRF-304D,96880348.57244374
PRF-304C,101974307.299632
PRF-304B,102301782.45741695
IBI-301,121770460.70143107
