PickupSector,DisposalSite, Distance (km)
AHU-101,St-Michel - Charland (VSP),10.195564
AHU-101,St-Michel - Robert (VSP),13.824792
AHU-101,St-Michel-17i�me(Sous-Sol),11.041832
AHU-101,Butler (S-O),18.729797
AHU-101,De la Salle (MHM),18.303719
AHU-101,Fullum (VMA),22.725502
AHU-101,Iberville (PMR),15.924388
AHU-101,Jules-Poitras 1 (AHU),3.012957
AHU-101,Jules-Poitras 2 (SLA),3.0591
AHU-101,Lausanne (MTN),8.901012
AHU-101,Millen (AHU),5.557221
AHU-101,Riverside (VMA),20.892695
AHU-101,Saint-Pierre (LAC),16.759512
AHU-101,Sauv� (AHU),4.406625
AHU-101,Verdun (VER),18.993252
AHU-101,46 ieme (LAC),17.242889
AHU-101,Angrignon (LAS),19.40858
AHU-101,Armand-Chaput (RDP),27.264611
AHU-101,Autoroute 13 (PRF),8.735167
AHU-101,Ch�teau Pierrefonds (PRF),22.40201
AHU-101,Lafarge (sud) (MHM),22.576158
AHU-101,Langelier (SLE),14.245257
AHU-101,Newman (S-O),20.417078
AHU-101,Ray-Lawson (ANJ),27.682389
AHU-101,Sartelon (SLA),6.499959
AHU-101,Thimens (SLA),8.246578
AHU-102,St-Michel - Charland (VSP),9.986773
AHU-102,St-Michel - Robert (VSP),13.616002
AHU-102,St-Michel-17ième(Sous-Sol),10.833041
AHU-102,Butler (S-O),18.521006
AHU-102,De la Salle (MHM),18.094928
AHU-102,Fullum (VMA),22.516713
AHU-102,Iberville (PMR),15.715597
AHU-102,Jules-Poitras 1 (AHU),2.804166
AHU-102,Jules-Poitras 2 (SLA),2.850309
AHU-102,Lausanne (MTN),8.692221
AHU-102,Millen (AHU),5.34843
AHU-102,Riverside (VMA),20.683902
AHU-102,Saint-Pierre (LAC),16.550721
AHU-102,Sauvé (AHU),4.197834
AHU-102,Verdun (VER),18.784461
AHU-102,46 ieme (LAC),17.034098
AHU-102,Angrignon (LAS),19.199789
AHU-102,Armand-Chaput (RDP),27.055818
AHU-102,Autoroute 13 (PRF),8.769993
AHU-102,Château Pierrefonds (PRF),22.436838
AHU-102,Lafarge (sud) (MHM),22.367367
AHU-102,Langelier (SLE),14.036466
AHU-102,Newman (S-O),20.208287
AHU-102,Ray-Lawson (ANJ),27.473598
AHU-102,Sartelon (SLA),6.534786
AHU-102,Thimens (SLA),8.281404
AHU-103,St-Michel - Charland (VSP),10.195564
AHU-103,St-Michel - Robert (VSP),13.824792
AHU-103,St-Michel-17ième(Sous-Sol),11.041832
AHU-103,Butler (S-O),18.729797
AHU-103,De la Salle (MHM),18.303719
AHU-103,Fullum (VMA),22.725502
AHU-103,Iberville (PMR),15.924388
AHU-103,Jules-Poitras 1 (AHU),3.012957
AHU-103,Jules-Poitras 2 (SLA),3.0591
AHU-103,Lausanne (MTN),8.901012
AHU-103,Millen (AHU),5.557221
AHU-103,Riverside (VMA),20.892695
AHU-103,Saint-Pierre (LAC),16.759512
AHU-103,Sauvé (AHU),4.406625
AHU-103,Verdun (VER),18.993252
AHU-103,46 ieme (LAC),17.242889
AHU-103,Angrignon (LAS),19.40858
AHU-103,Armand-Chaput (RDP),27.264611
AHU-103,Autoroute 13 (PRF),8.735167
AHU-103,Château Pierrefonds (PRF),22.40201
AHU-103,Lafarge (sud) (MHM),22.576158
AHU-103,Langelier (SLE),14.245257
AHU-103,Newman (S-O),20.417078
AHU-103,Ray-Lawson (ANJ),27.682389
AHU-103,Sartelon (SLA),6.499959
AHU-103,Thimens (SLA),8.246578
AHU-104,St-Michel - Charland (VSP),8.576025
AHU-104,St-Michel - Robert (VSP),14.099004
AHU-104,St-Michel-17ième(Sous-Sol),9.422293
AHU-104,Butler (S-O),19.004008
AHU-104,De la Salle (MHM),18.577928
AHU-104,Fullum (VMA),22.999713
AHU-104,Iberville (PMR),16.198597
AHU-104,Jules-Poitras 1 (AHU),3.287168
AHU-104,Jules-Poitras 2 (SLA),3.333311
AHU-104,Lausanne (MTN),7.281472
AHU-104,Millen (AHU),3.524215
AHU-104,Riverside (VMA),21.166906
AHU-104,Saint-Pierre (LAC),17.033725
AHU-104,Sauvé (AHU),3.435382
AHU-104,Verdun (VER),19.267461
AHU-104,46 ieme (LAC),17.545562
AHU-104,Angrignon (LAS),19.682791
AHU-104,Armand-Chaput (RDP),27.53882
AHU-104,Autoroute 13 (PRF),9.252995
AHU-104,Château Pierrefonds (PRF),22.91984
AHU-104,Lafarge (sud) (MHM),22.850371
AHU-104,Langelier (SLE),12.625717
AHU-104,Newman (S-O),20.691287
AHU-104,Ray-Lawson (ANJ),27.9566
AHU-104,Sartelon (SLA),7.017788
AHU-104,Thimens (SLA),8.764407
AHU-105,St-Michel - Charland (VSP),4.836357
AHU-105,St-Michel - Robert (VSP),7.940061
AHU-105,St-Michel-17ième(Sous-Sol),5.682625
AHU-105,Butler (S-O),15.860021
AHU-105,De la Salle (MHM),12.418987
AHU-105,Fullum (VMA),11.314351
AHU-105,Iberville (PMR),10.039655
AHU-105,Jules-Poitras 1 (AHU),4.824479
AHU-105,Jules-Poitras 2 (SLA),3.406698
AHU-105,Lausanne (MTN),6.181189
AHU-105,Millen (AHU),2.837399
AHU-105,Riverside (VMA),11.584847
AHU-105,Saint-Pierre (LAC),13.889736
AHU-105,Sauvé (AHU),1.620614
AHU-105,Verdun (VER),16.123476
AHU-105,46 ieme (LAC),14.373113
AHU-105,Angrignon (LAS),16.538805
AHU-105,Armand-Chaput (RDP),21.379881
AHU-105,Autoroute 13 (PRF),10.413579
AHU-105,Château Pierrefonds (PRF),26.814059
AHU-105,Lafarge (sud) (MHM),16.691428
AHU-105,Langelier (SLE),12.321938
AHU-105,Newman (S-O),17.547303
AHU-105,Ray-Lawson (ANJ),14.3
AHU-105,Sartelon (SLA),8.178373
AHU-105,Thimens (SLA),10.998635
AHU-106,St-Michel - Charland (VSP),5.942661
AHU-106,St-Michel - Robert (VSP),9.284607
AHU-106,St-Michel-17ième(Sous-Sol),6.788928
AHU-106,Butler (S-O),23.188266
AHU-106,De la Salle (MHM),14.85378
AHU-106,Fullum (VMA),13.685594
AHU-106,Iberville (PMR),12.468313
AHU-106,Jules-Poitras 1 (AHU),9.482476
AHU-106,Jules-Poitras 2 (SLA),8.108403
AHU-106,Lausanne (MTN),5.920314
AHU-106,Millen (AHU),4.589851
AHU-106,Riverside (VMA),17.222527
AHU-106,Saint-Pierre (LAC),21.21798
AHU-106,Sauvé (AHU),7.092377
AHU-106,Verdun (VER),23.451719
AHU-106,46 ieme (LAC),32.64165
AHU-106,Angrignon (LAS),39.369836
AHU-106,Armand-Chaput (RDP),25.760895
AHU-106,Autoroute 13 (PRF),23.499092
AHU-106,Château Pierrefonds (PRF),39.914125
AHU-106,Lafarge (sud) (MHM),25.660865
AHU-106,Langelier (SLE),19.039422
AHU-106,Newman (S-O),40.378336
AHU-106,Ray-Lawson (ANJ),19.623738
AHU-106,Sartelon (SLA),12.880077
AHU-106,Thimens (SLA),14.604445
AHU-107,St-Michel - Charland (VSP),3.924458
AHU-107,St-Michel - Robert (VSP),7.368796
AHU-107,St-Michel-17ième(Sous-Sol),4.770725
AHU-107,Butler (S-O),17.15526
AHU-107,De la Salle (MHM),12.407896
AHU-107,Fullum (VMA),11.502598
AHU-107,Iberville (PMR),9.468392
AHU-107,Jules-Poitras 1 (AHU),5.962518
AHU-107,Jules-Poitras 2 (SLA),4.588446
AHU-107,Lausanne (MTN),5.321327
AHU-107,Millen (AHU),1.821556
AHU-107,Riverside (VMA),12.249281
AHU-107,Saint-Pierre (LAC),15.003173
AHU-107,Sauvé (AHU),2.409444
AHU-107,Verdun (VER),17.418715
AHU-107,46 ieme (LAC),15.668352
AHU-107,Angrignon (LAS),17.834041
AHU-107,Armand-Chaput (RDP),20.808615
AHU-107,Autoroute 13 (PRF),11.595327
AHU-107,Château Pierrefonds (PRF),28.109299
AHU-107,Lafarge (sud) (MHM),16.1
AHU-107,Langelier (SLE),8.329139
AHU-107,Newman (S-O),19.342508
AHU-107,Ray-Lawson (ANJ),13.739433
AHU-107,Sartelon (SLA),9.36012
AHU-107,Thimens (SLA),12.293873
AHU-201,St-Michel - Charland (VSP),5.414553
AHU-201,St-Michel - Robert (VSP),8.023303
AHU-201,St-Michel-17ième(Sous-Sol),6.260821
AHU-201,Butler (S-O),19.780707
AHU-201,De la Salle (MHM),12.816755
AHU-201,Fullum (VMA),12.707554
AHU-201,Iberville (PMR),10.437424
AHU-201,Jules-Poitras 1 (AHU),5.455617
AHU-201,Jules-Poitras 2 (SLA),4.081545
AHU-201,Lausanne (MTN),4.12
AHU-201,Millen (AHU),0.562991
AHU-201,Riverside (VMA),16.244486
AHU-201,Saint-Pierre (LAC),17.628619
AHU-201,Sauvé (AHU),3.065518
AHU-201,Verdun (VER),20.04416
AHU-201,46 ieme (LAC),18.293797
AHU-201,Angrignon (LAS),20.459488
AHU-201,Armand-Chaput (RDP),21.777648
AHU-201,Autoroute 13 (PRF),11.088426
AHU-201,Château Pierrefonds (PRF),24.75527
AHU-201,Lafarge (sud) (MHM),17.089197
AHU-201,Langelier (SLE),9.464245
AHU-201,Newman (S-O),21.967953
AHU-201,Ray-Lawson (ANJ),11.316485
AHU-201,Sartelon (SLA),8.853219
AHU-201,Thimens (SLA),10.577586
AHU-202,St-Michel - Charland (VSP),6.715224
AHU-202,St-Michel - Robert (VSP),9.323975
AHU-202,St-Michel-17ième(Sous-Sol),7.561493
AHU-202,Butler (S-O),18.724377
AHU-202,De la Salle (MHM),13.974457
AHU-202,Fullum (VMA),22.720084
AHU-202,Iberville (PMR),11.595125
AHU-202,Jules-Poitras 1 (AHU),4.427752
AHU-202,Jules-Poitras 2 (SLA),3.05368
AHU-202,Lausanne (MTN),5.420672
AHU-202,Millen (AHU),1.663415
AHU-202,Riverside (VMA),13.140317
AHU-202,Saint-Pierre (LAC),16.572291
AHU-202,Sauvé (AHU),2.037654
AHU-202,Verdun (VER),18.987832
AHU-202,46 ieme (LAC),17.265932
AHU-202,Angrignon (LAS),19.403162
AHU-202,Armand-Chaput (RDP),22.93535
AHU-202,Autoroute 13 (PRF),10.060562
AHU-202,Château Pierrefonds (PRF),23.727406
AHU-202,Lafarge (sud) (MHM),18.246898
AHU-202,Langelier (SLE),10.764916
AHU-202,Newman (S-O),20.911625
AHU-202,Ray-Lawson (ANJ),12.617158
AHU-202,Sartelon (SLA),7.825355
AHU-202,Thimens (SLA),9.549723
ANJ-101,St-Michel - Charland (VSP),12.260465
ANJ-101,St-Michel - Robert (VSP),9.296884
ANJ-101,St-Michel-17ième(Sous-Sol),11.392243
ANJ-101,Butler (S-O),22.650332
ANJ-101,De la Salle (MHM),12.96312
ANJ-101,Fullum (VMA),16.053041
ANJ-101,Iberville (PMR),13.221194
ANJ-101,Jules-Poitras 1 (AHU),20.599406
ANJ-101,Jules-Poitras 2 (SLA),17.810406
ANJ-101,Lausanne (MTN),11.306134
ANJ-101,Millen (AHU),14.705264
ANJ-101,Riverside (VMA),19.977299
ANJ-101,Saint-Pierre (LAC),25.071068
ANJ-101,Sauvé (AHU),15.979113
ANJ-101,Verdun (VER),24.093359
ANJ-101,46 ieme (LAC),26.195047
ANJ-101,Angrignon (LAS),27.746641
ANJ-101,Armand-Chaput (RDP),5.956979
ANJ-101,Autoroute 13 (PRF),36.898664
ANJ-101,Château Pierrefonds (PRF),38.635992
ANJ-101,Lafarge (sud) (MHM),5.985264
ANJ-101,Langelier (SLE),7.374618
ANJ-101,Newman (S-O),26.978275
ANJ-101,Ray-Lawson (ANJ),3.620511
ANJ-101,Sartelon (SLA),22.582078
ANJ-101,Thimens (SLA),22.82057
ANJ-309,St-Michel - Charland (VSP),11.028395
ANJ-309,St-Michel - Robert (VSP),8.064812
ANJ-309,St-Michel-17ième(Sous-Sol),10.160174
