Hub,RemovalSite,DisposalSite,SnowTransported,Start_Lat,Start_Lng,End_Lat,End_Lng
VMA-109,VMA-109,Fullum (VMA),93274.51,45.49917824,-73.56230036,45.525,-73.545
VMA-109,VMA-307,Fullum (VMA),82691.13,45.51550898,-73.56114693,45.525,-73.545
VMA-109,VMA-306,Fullum (VMA),96229.11,45.51979422,-73.56636476,45.525,-73.545
VMA-109,VMA-111,Fullum (VMA),85847.51,45.5124151,-73.56966732,45.525,-73.545
VMA-109,VMA-110,Riverside (VMA),127483.61,45.4987999,-73.57666971,45.491,-73.552
VMA-109,PMR-101,Fullum (VMA),158592.4,45.53189772,-73.59390183,45.525,-73.545
VMA-109,PMR-102,Fullum (VMA),144354.73,45.51588553,-73.59052976,45.525,-73.545
VMA-109,S-O-104,Riverside (VMA),136883.4,45.48772195,-73.56854884,45.491,-73.552
VMA-109,PMR-204,Iberville (PMR),80600.83,45.53959729,-73.56831073,45.533,-73.555
VMA-109,MHM-109,Iberville (PMR),126720.19,45.54117536,-73.55830691,45.533,-73.555
VMA-109,PMR-203,Fullum (VMA),97228.93,45.53341693,-73.592195,45.525,-73.545
VMA-109,RPP-201,Fullum (VMA),116858.26,45.54046257,-73.61308137,45.525,-73.545
VMA-109,MHM-209,Iberville (PMR),124186.67,45.55347871,-73.55165706,45.533,-73.555
VMA-109,MHM-210,Iberville (PMR),156288.64,45.55468483,-73.55428138,45.533,-73.555
VMA-109,RPP-204,Fullum (VMA),123910.35,45.54868487,-73.60171691,45.525,-73.545
VMA-109,RPP-101,Fullum (VMA),100797.42,45.53176015,-73.62078145,45.525,-73.545
VMA-109,RPP-102,Iberville (PMR),95611.77,45.55287401,-73.58050178,45.533,-73.555
VMA-109,OUT-101,Riverside (VMA),170139.37,45.51658042,-73.62672222,45.491,-73.552
VMA-109,RPP-104,Iberville (PMR),152513.24,45.55789801,-73.56557695,45.533,-73.555
VMA-109,VER-310B,Riverside (VMA),91295.89,45.4669972,-73.53190369,45.491,-73.552
VMA-109,VSP-107,Fullum (VMA),125642.5,45.55484377,-73.62091446,45.525,-73.545
VMA-109,CDN-111,Butler (S-O),70225.35,45.4725436,-73.6124776,45.475,-73.569
VMA-109,VSP-206,Iberville (PMR),107770.34,45.56027421,-73.60897427,45.533,-73.555
VMA-109,S-O-201B,Riverside (VMA),107975.69,45.46974659,-73.58305727,45.491,-73.552
VMA-109,RPP-205,Iberville (PMR),133863.99,45.56540501,-73.58812198,45.533,-73.555
VMA-109,AHU-107,Iberville (PMR),165025.8,45.55110129,-73.65335819,45.533,-73.555
VMA-109,RPP-103,Iberville (PMR),113049.76,45.57364057,-73.58076923,45.533,-73.555
VMA-109,S-O-201A,Riverside (VMA),94217.6,45.45783633,-73.61364497,45.491,-73.552
VMA-109,AHU-105,Fullum (VMA),144586.67,45.54287252,-73.65814723,45.525,-73.545
VMA-109,MHM-211,Iberville (PMR),120956.77,45.58767097,-73.54121714,45.533,-73.555
VMA-109,VSP-104,Fullum (VMA),126061.39,45.56497012,-73.645257,45.525,-73.545
VMA-109,MHM-105,Iberville (PMR),135651.25,45.59086138,-73.52540373,45.533,-73.555
VMA-109,CDN-112,Riverside (VMA),85719.86,45.4852088,-73.62813247,45.491,-73.552
VMA-109,S-O-103,Saint-Pierre (LAC),197580.1,45.45071293,-73.63515371,45.468,-73.599
VMA-109,SLE-109,Iberville (PMR),108860.15,45.57619682,-73.59335768,45.533,-73.555
VMA-109,CDN-301,Riverside (VMA),226169.69,45.47552466,-73.63975434,45.491,-73.552
VMA-109,MHM-106,Iberville (PMR),150424.21,45.59482761,-73.53571902,45.533,-73.555
VMA-109,MHM-107,Iberville (PMR),156504.79,45.59030081,-73.54893298,45.533,-73.555
VMA-109,CDN-113,Riverside (VMA),110109.53,45.49108823,-73.62765679,45.491,-73.552
VMA-109,LAS-328,Fullum (VMA),90925.53,45.43943653,-73.62177664,45.525,-73.545
VMA-109,LAS-329,Saint-Pierre (LAC),66308.04,45.44121084,-73.64583339,45.468,-73.599
VMA-109,LAS-321,Butler (S-O),61684.34,45.43713099,-73.5975788,45.475,-73.569
VMA-109,ANJ-310,Iberville (PMR),65548.68,45.59304821,-73.55717888,45.533,-73.555
VMA-109,VSP-205,Iberville (PMR),105697.54,45.57613921,-73.63611344,45.533,-73.555
VMA-109,AHU-106,Fullum (VMA),160528.94,45.57207083,-73.66193861,45.525,-73.545
VMA-109,LAS-327,Fullum (VMA),68856.07,45.43378628,-73.63813045,45.525,-73.545
VMA-109,VER-310A,Butler (S-O),193127.45,45.43737817,-73.59918246,45.475,-73.569
VMA-109,MHM-108,Iberville (PMR),177831.34,45.59659289,-73.56965627,45.533,-73.555
VMA-109,SLE-111,Iberville (PMR),112853.32,45.59063956,-73.61809441,45.533,-73.555
VMA-109,LAS-323,Butler (S-O),81718.74,45.42777023,-73.60618434,45.475,-73.569
