IdentifiantDepot,NomDepot,TypeDepot,Capacite,Latitude,Longitude,VolumeDeverse,IdentifiantArrondissement,ArrondissementCode,Arrondissement
27,"Millen (AHU)","Chute_Egout",0.00,45.557280,-73.667768,338178.66,22,"AHU","Ahuntsic-Cartierville"
28,"Sauvé (AHU)","Chute_Egout",0.00,45.540365,-73.664776,58109.08,22,"AHU","Ahuntsic-Cartierville"
30,"Jules-Poitras 1 (AHU)","Chute_Egout",0.00,45.529812,-73.692688,386378.76,22,"AHU","Ahuntsic-Cartierville"
31,"St-Michel - Robert (VSP)","Carierre",3780000.00,45.573425,-73.612205,2548685.56,24,"VSP","Villeray–Saint-Michel–Parc-Extension"
34,"Lafarge (sud) (MHM)","Entassement",1100000.00,45.617708,-73.523766,772747.75,21,"MHM","Mercier–Hochelaga-Maisonneuve"
35,"De la Salle (MHM)","Chute_Egout",0.00,45.549463,-73.531399,345533.69,21,"MHM","Mercier–Hochelaga-Maisonneuve"
36,"Iberville (PMR)","Chute_Egout",0.00,45.533362,-73.554816,25353.67,20,"PMR","Le Plateau-Mont-Royal"
37,"Fullum (VMA)","Chute_Egout",0.00,45.524818,-73.545051,415817.03,18,"VMA","Ville-Marie"
39,"Newman (S-O)","Entassement",375000.00,45.456310,-73.608968,337142.75,19,"S-O","Le Sud-Ouest"
42,"Butler (S-O)","Chute_Egout",0.00,45.474879,-73.569028,237141.35,19,"S-O","Le Sud-Ouest"
43,"Angrignon (LAS)","Entassement",1500000.00,45.452893,-73.615930,2166512.18,16,"LAS","LaSalle"
44,"Verdun (VER)","Chute_Egout",0.00,45.471204,-73.559850,213298.16,10,"VER","Verdun"
45,"Armand-Chaput (RDP)","Entassement",1400000.00,45.660361,-73.527110,1369311.20,17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles"
46,"Ray-Lawson (ANJ)","Entassement",2450000.00,45.622152,-73.578990,1405907.41,9,"ANJ","Anjou"
47,"Château Pierrefonds (PRF)","Entassement",200000.00,45.460858,-73.899178,213931.75,11,"PRF","Pierrefonds-Roxboro"
49,"Thimens (SLA)","Entassement",478210.00,45.495180,-73.721363,610077.90,13,"SLA","Saint-Laurent"
50,"Sartelon (SLA)","Entassement",345000.00,45.512461,-73.737365,384470.87,13,"SLA","Saint-Laurent"
51,"Jules-Poitras 2 (SLA)","Chute_Egout",0.00,45.529281,-73.686676,0.00,13,"SLA","Saint-Laurent"
54,"46 ieme (LAC)","Entassement",250000.00,45.449769,-73.710405,225980.18,15,"LAC","Lachine"
55,"Saint-Pierre (LAC)","Chute_Egout",0.00,45.467577,-73.598836,160209.42,15,"LAC","Lachine"
56,"Lausanne (MTN)","Chute_Egout",0.00,45.587811,-73.648882,137156.00,14,"MTN","Montréal-Nord"
57,"Langelier (SLE)","Entassement",700000.00,45.607497,-73.607308,792841.47,12,"SLE","Saint-Léonard"
58,"St-Michel - Charland (VSP)","Carierre",1260000.00,45.578529,-73.633005,637962.42,24,"VSP","Villeray–Saint-Michel–Parc-Extension"
60,"Riverside (VMA)","Chute_Egout",0.00,45.490900,-73.552162,164561.87,18,"VMA","Ville-Marie"
63,"St-Michel-17ième(Sous-Sol)","Carierre",2000000.00,45.576419,-73.625385,132.27,24,"VSP","Villeray–Saint-Michel–Parc-Extension"
65,"Autoroute 13 (PRF)","Entassement",0.00,45.504227,-73.755164,9306.94,11,"PRF","Pierrefonds-Roxboro"
